Density: 0.93, dimension: 62400
Density: 0.93, dimension: 62500
Density: 0.93, dimension: 62600
Density: 0.93, dimension: 62700
Density: 0.93, dimension: 62800
Density: 0.93, dimension: 62900
Density: 0.93, dimension: 63000
Density: 0.93, dimension: 63100
Density: 0.93, dimension: 63200
Density: 0.93, dimension: 63300
Density: 0.93, dimension: 63400
Density: 0.93, dimension: 63500
Density: 0.93, dimension: 63600
Density: 0.93, dimension: 63700
Density: 0.93, dimension: 63800
Density: 0.93, dimension: 63900
Density: 0.93, dimension: 64000
Density: 0.93, dimension: 64100
Density: 0.93, dimension: 64200
Density: 0.93, dimension: 64300
Density: 0.93, dimension: 64400
Density: 0.93, dimension: 64500
Density: 0.93, dimension: 64600
Density: 0.93, dimension: 64700
Density: 0.93, dimension: 64800
Density: 0.93, dimension: 64900
Density: 0.93, dimension: 65000
Density: 0.93, dimension: 65100
Density: 0.93, dimension: 65200
Density: 0.93, dimension: 65300
Density: 0.93, dimension: 65400
Density: 0.93, dimension: 65500
Density: 0.93, dimension: 65600
Density: 0.93, dimension: 65700
Density: 0.93, dimension: 65800
Density: 0.93, dimension: 65900
Density: 0.93, dimension: 66000
Density: 0.93, dimension: 66100
Density: 0.93, dimension: 66200
Density: 0.93, dimension: 66300
Density: 0.93, dimension: 66400
Density: 0.93, dimension: 66500
Density: 0.93, dimension: 66600
Density: 0.93, dimension: 66700
Density: 0.93, dimension: 66800
Density: 0.93, dimension: 66900
Density: 0.93, dimension: 67000
Density: 0.93, dimension: 67100
Density: 0.93, dimension: 67200
Density: 0.93, dimension: 67300
Density: 0.93, dimension: 67400
Density: 0.93, dimension: 67500
Density: 0.93, dimension: 67600
Density: 0.93, dimension: 67700
Density: 0.93, dimension: 67800
Density: 0.93, dimension: 67900
Density: 0.93, dimension: 68000
Density: 0.93, dimension: 68100
Density: 0.93, dimension: 68200
Density: 0.93, dimension: 68300
Density: 0.93, dimension: 68400
Density: 0.93, dimension: 68500
Density: 0.93, dimension: 68600
Density: 0.93, dimension: 68700
Density: 0.93, dimension: 68800
Density: 0.93, dimension: 68900
Density: 0.93, dimension: 69000
Density: 0.93, dimension: 69100
Density: 0.93, dimension: 69200
Density: 0.93, dimension: 69300
Density: 0.93, dimension: 69400
Density: 0.93, dimension: 69500
Density: 0.93, dimension: 69600
Density: 0.93, dimension: 69700
Density: 0.93, dimension: 69800
Density: 0.93, dimension: 69900
Density: 0.93, dimension: 70000
Density: 0.93, dimension: 70100
Density: 0.94, dimension: 70200
Density: 0.94, dimension: 70300
Density: 0.94, dimension: 70400
Density: 0.94, dimension: 70500
Density: 0.94, dimension: 70600
Density: 0.94, dimension: 70700
Density: 0.94, dimension: 70800
Density: 0.94, dimension: 70900
Density: 0.94, dimension: 71000
Density: 0.94, dimension: 71100
Density: 0.94, dimension: 71200
Density: 0.94, dimension: 71300
Density: 0.94, dimension: 71400
Density: 0.94, dimension: 71500
Density: 0.94, dimension: 71600
Density: 0.94, dimension: 71700
Density: 0.94, dimension: 71800
Density: 0.94, dimension: 71900
Density: 0.94, dimension: 72000
Density: 0.94, dimension: 72100
Density: 0.94, dimension: 72200
Density: 0.94, dimension: 72300
Density: 0.94, dimension: 72400
Density: 0.94, dimension: 72500
Density: 0.94, dimension: 72600
Density: 0.94, dimension: 72700
Density: 0.94, dimension: 72800
Density: 0.94, dimension: 72900
Density: 0.94, dimension: 73000
Density: 0.94, dimension: 73100
Density: 0.94, dimension: 73200
Density: 0.94, dimension: 73300
Density: 0.94, dimension: 73400
Density: 0.94, dimension: 73500
Density: 0.94, dimension: 73600
Density: 0.94, dimension: 73700
Density: 0.94, dimension: 73800
Density: 0.94, dimension: 73900
Density: 0.94, dimension: 74000
Density: 0.94, dimension: 74100
Density: 0.94, dimension: 74200
Density: 0.94, dimension: 74300
